"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
2006-12-16,"17:24:00",NA,0.418,234.84,18.4,0,1,17
2006-12-16,"17:25:00",5.36,0.436,233.63,23,0,1,16
2006-12-16,"17:26:00",NA,0.498,233.29,23,0,2,17
2006-12-16,"17:27:00",5.388,0.502,233.74,23,0,1,17
2006-12-16,"17:28:00",NA,0.528,235.68,15.8,0,1,17
2006-12-16,"17:29:00",3.52,0.522,235.02,15,0,2,17
2006-12-16,"17:30:00",3.702,0.52,235.09,15.8,0,1,17
2006-12-16,"17:31:00",3.7,0.52,235.22,15.8,0,1,17
2006-12-16,"17:32:00",3.668,0.51,233.99,15.8,0,1,17
2006-12-16,"17:33:00",NA,0.51,233.86,15.8,0,2,16
2006-12-16,"17:34:00",4.448,0.498,232.86,19.6,0,1,17
2006-12-16,"17:35:00",NA,0.47,232.78,23.2,0,1,17
2006-12-16,"17:36:00",NA,0.478,232.99,22.4,0,1,16
2006-12-16,"17:37:00",NA,0.398,232.91,22.6,0,2,17
2006-12-16,"17:38:00",NA,0.422,235.24,17.6,0,1,17
2006-12-16,"17:39:00",3.384,0.282,237.14,14.2,0,0,17
2006-12-16,"17:40:00",NA,0.152,236.73,13.8,0,0,17
2006-12-16,"17:41:00",NA,0.156,237.06,14.4,0,0,17
2006-12-16,"17:42:00",3.266,0,237.13,13.8,0,0,18
2006-12-16,"17:43:00",NA,0,235.84,16.4,0,0,17
2006-12-16,"17:44:00",5.894,0,232.69,25.4,0,0,16
2006-12-16,"17:45:00",NA,0,230.98,33.2,0,0,17
2006-12-16,"17:46:00",NA,0,232.21,30.6,0,0,16
2006-12-16,"17:47:00",5.174,0,234.19,22,0,0,17
2006-12-16,"17:48:00",NA,0,234.96,19.4,0,0,17
2006-12-16,"17:49:00",NA,0,236.66,13.6,0,0,17
2006-12-16,"17:50:00",NA,0,235.84,13.6,0,0,17
2006-12-16,"17:51:00",NA,0,235.6,13.6,0,0,17
2006-12-16,"17:52:00",3.258,0,235.49,13.8,0,0,17
2006-12-16,"17:53:00",NA,0,235.28,13.4,0,0,17
2006-12-16,"17:54:00",NA,0,235.06,11.6,0,0,17
2006-12-16,"17:55:00",3.758,0.076,234.17,16.4,0,0,17
2006-12-16,"17:56:00",NA,0.09,233.77,18.4,0,0,16
2006-12-16,"17:57:00",4.512,0,233.62,19.2,0,0,17
2006-12-16,"17:58:00",NA,0.2,234.68,17.6,0,0,17
2006-12-16,"17:59:00",NA,0.058,236.94,10.4,0,0,17
2006-12-16,"18:00:00",NA,0.18,237.52,11.8,0,0,18
2006-12-16,"18:01:00",NA,0.144,238.2,11,0,0,17
2006-12-16,"18:02:00",2.772,0.118,238.28,11.6,0,0,17
2006-12-16,"18:03:00",3.74,0.108,236.93,16.4,0,16,18
2006-12-16,"18:04:00",4.928,0.202,235.01,21,0,37,16
2006-12-16,"18:05:00",5.13385,0.192,232.93,26.2,0,37,17
2006-12-16,"18:06:00",6.752,0.186,232.12,29,0,36,17
2006-12-16,"18:07:00",5.19545,0.144,231.85,27.8,0,37,16
2006-12-16,"18:08:00",6.308,0.116,232.25,27,0,36,17
2006-12-16,"18:09:00",4.464,0.136,234.66,19,0,37,16
2006-12-16,"18:10:00",4.52745,0.148,236.2,15,0,22,18
2006-12-16,"18:11:00",3.09,0.152,237.07,13.8,0,12,17
2006-12-16,"18:12:00",4.51375,0.144,235.78,16.4,0,27,17
2006-12-16,"18:13:00",2.308,0.16,237.43,9.6,0,1,17
2006-12-16,"18:14:00",4.4284,0.158,237.26,10,0,1,17
2006-12-16,"18:15:00",4.598,0.1,234.25,21.4,0,20,17
2006-12-16,"18:16:00",4.524,0.076,234.2,19.6,0,9,17
2006-12-16,"18:17:00",5.1139,0.082,234.31,17.8,0,1,17
2006-12-16,"18:18:00",4.472,0,233.29,19.2,0,1,16
2006-12-16,"18:19:00",2.852,0,235.61,12,0,1,17
2006-12-16,"18:20:00",4.3525,0,235.25,12.4,0,1,17
2006-12-16,"18:21:00",4.34025,0,236.04,12.4,0,2,17
2006-12-16,"18:22:00",2.934,0,235.51,12.4,0,1,17
2006-12-16,"18:23:00",2.926,0,235.68,12.4,0,1,17
2006-12-16,"18:24:00",4.25085,0,235.2,15.2,0,1,17
2006-12-16,"18:25:00",4.92995,0,233.74,20.8,0,1,17
2006-12-16,"18:26:00",4.876,0,233.84,20.8,0,1,17
2006-12-16,"18:27:00",4.8683,0,233.79,20.8,0,1,17
2006-12-16,"18:28:00",4.08585,0,235.5,13.8,0,1,17
2006-12-16,"18:29:00",4.07765,0,235.84,12.4,0,1,17
2006-12-16,"18:30:00",2.93,0,236.15,12.4,0,1,17
2006-12-16,"18:31:00",4.0621,0.05,235.81,12.4,0,1,17
2006-12-16,"18:32:00",2.608,0.052,235.41,11,0,1,17
2006-12-16,"18:33:00",4.03425,0.162,234.82,11.6,0,0,17
2006-12-16,"18:34:00",4.0547,0.086,233.76,15.6,0,1,16
2006-12-16,"18:35:00",4.86255,0,232.48,26.4,0,27,17
2006-12-16,"18:36:00",4.8674,0,233.54,19.4,0,1,17
2006-12-16,"18:37:00",4.8648,0,232.32,18.8,0,1,16
2006-12-16,"18:38:00",2.912,0.048,234.02,13,0,1,17
2006-12-16,"18:39:00",4.0825,0.054,234.76,9.8,0,1,17
2006-12-16,"18:40:00",4.06935,0.054,234.67,9.6,0,1,17
2006-12-16,"18:41:00",2.27,0.054,235.27,9.6,0,1,17
2006-12-16,"18:42:00",4.04765,0.054,235.12,9.6,0,1,17
2006-12-16,"18:43:00",4.00885,0.068,235.8,9.2,0,1,17
2006-12-16,"18:44:00",2.978,0.166,234.81,13.2,0,1,17
2006-12-16,"18:45:00",4.2,0.174,234.38,17.8,0,1,17
2006-12-16,"18:46:00",4.6001,0.186,234.2,17.8,0,1,16
2006-12-16,"18:47:00",4.218,0.178,233.98,18,0,1,17
2006-12-16,"18:48:00",2.786,0.188,234.99,12,0,2,17
2006-12-16,"18:49:00",3.65755,0.088,234.67,10.8,0,4,17
2006-12-16,"18:50:00",2.496,0.08,233.92,10.6,0,3,17
2006-12-16,"18:51:00",3.6162,0.07,233.51,10,0,1,16
2006-12-16,"18:52:00",3.581,0,233.44,9.8,0,0,17
2006-12-16,"18:53:00",3.5845,0,233.64,10.6,0,1,17
2006-12-16,"18:54:00",4.38225,0,232.39,18.4,0,1,16
2006-12-16,"18:55:00",4.23,0.09,232.25,18.2,0,1,17
2006-12-16,"18:56:00",4.23,0.09,232.32,18.2,0,2,16
2006-12-16,"18:57:00",3.60875,0.084,232.79,17,0,1,17
2006-12-16,"18:58:00",4.3524,0.09,232.09,18,0,1,17
2006-12-16,"18:59:00",4.224,0.09,231.96,18.2,0,1,16
2006-12-16,"19:00:00",4.07,0.088,231.99,17.4,0,1,17
2006-12-16,"19:01:00",3.68205,0.09,232.36,15.6,0,2,16
2006-12-16,"19:02:00",3.458,0.09,232.71,14.8,0,1,17
2006-12-16,"19:03:00",3.70785,0.09,232.01,14.8,0,1,16
2006-12-16,"19:04:00",3.366,0,232.78,14.4,0,1,17
2006-12-16,"19:05:00",3.66905,0.082,233.08,14.6,0,2,16
2006-12-16,"19:06:00",3.382,0.074,233.69,14.4,0,0,17
2006-12-16,"19:07:00",3.60065,0.106,234.44,15.4,0,4,17
2006-12-16,"19:08:00",3.60815,0.092,234.6,14.8,0,3,17
2006-12-16,"19:09:00",3.62,0.064,235.12,14.4,0,0,17
2006-12-16,"19:10:00",3.63175,0,234.28,14.4,0,1,17
2006-12-16,"19:11:00",3.6443,0,234.19,14.4,0,1,17
2006-12-16,"19:12:00",3.432,0,234.69,14.6,0,1,16
2006-12-16,"19:13:00",3.418,0,234.26,14.6,0,2,17
2006-12-16,"19:14:00",3.392,0,233.3,14.4,0,1,17
2006-12-16,"19:15:00",3.394,0,233.43,14.4,0,1,17
2006-12-16,"19:16:00",3.58335,0,233.45,14.4,0,1,16
2006-12-16,"19:17:00",3.5583,0,233.91,14.4,0,2,17
2006-12-16,"19:18:00",3.42,0,234.43,14.6,0,1,17
2006-12-16,"19:19:00",3.418,0,234.34,14.4,0,1,17
2006-12-16,"19:20:00",3.422,0.052,234.58,14.6,0,1,17
2006-12-16,"19:21:00",3.6538,0,234.02,14.2,0,1,16
2006-12-16,"19:22:00",3.68025,0.046,234.29,14,0,1,17
2006-12-16,"19:23:00",3.7089,0,234.36,14.2,0,2,17
2006-12-16,"19:24:00",3.262,0.052,232.64,14,0,0,17
2006-12-16,"19:25:00",3.6979,0.064,232.96,14.8,0,3,16
2006-12-16,"19:26:00",3.62,0.09,233.47,15.4,0,5,17
2006-12-16,"19:27:00",3.61,0.084,234.98,15.2,0,5,17
2006-12-16,"19:28:00",3.6896,0.138,234.34,15.4,0,5,17
2006-12-16,"19:29:00",3.614,0.192,233.92,15.4,0,5,17
2006-12-16,"19:30:00",3.408,0.162,233.94,14.4,0,2,16
2006-12-16,"19:31:00",3.76555,0.134,233.72,14.4,0,1,17
2006-12-16,"19:32:00",3.372,0.132,233.2,14.4,0,2,17
2006-12-16,"19:33:00",3.37,0.132,233.1,14.4,0,1,16
2006-12-16,"19:34:00",3.79095,0.12,232.29,14.4,0,1,17
2006-12-16,"19:35:00",3.284,0,232.45,14,0,2,16
2006-12-16,"19:36:00",3.276,0,231.97,14,0,1,17
2006-12-16,"19:37:00",3.7299,0.13,232.42,14.4,0,2,17
2006-12-16,"19:38:00",3.7099,0.16,233.38,14.6,0,1,16
2006-12-16,"19:39:00",3.396,0.158,232.69,14.6,0,1,17
2006-12-16,"19:40:00",3.406,0.158,233.2,14.6,0,2,16
2006-12-16,"19:41:00",3.66745,0.158,233.26,14.6,0,1,17
2006-12-16,"19:42:00",3.6658,0.156,232.84,14.4,0,1,17
2006-12-16,"19:43:00",3.6644,0.154,232.39,14.4,0,2,16
2006-12-16,"19:44:00",3.368,0.154,232.14,14.4,0,1,17
2006-12-16,"19:45:00",3.6631,0.152,231.57,14.4,0,1,16
2006-12-16,"19:46:00",3.352,0.152,231.66,14.4,0,2,17
2006-12-16,"19:47:00",3.65605,0.154,232.22,14.4,0,1,16
2006-12-16,"19:48:00",3.65365,0.156,232.81,14.4,0,1,17
2006-12-16,"19:49:00",3.404,0.16,233.77,14.4,0,1,17
2006-12-16,"19:50:00",3.65335,0.156,232.82,14.4,0,2,16
2006-12-16,"19:51:00",3.388,0.158,233.22,14.4,0,1,17
2006-12-16,"19:52:00",3.6513,0.156,232.84,14.4,0,1,17
2006-12-16,"19:53:00",3.6472,0,232.75,13.8,0,0,16
2006-12-16,"19:54:00",3.214,0.078,232.64,13.8,0,0,17
2006-12-16,"19:55:00",3.202,0.078,232.2,13.8,0,0,16
2006-12-16,"19:56:00",3.202,0.078,232.2,13.8,0,0,17
2006-12-16,"19:57:00",3.212,0.078,232.58,13.8,0,0,16
2006-12-16,"19:58:00",3.62295,0.078,232.4,13.8,0,0,17
2006-12-16,"19:59:00",3.61785,0.078,232.66,13.8,0,0,17
2006-12-16,"20:00:00",3.61245,0.078,232.43,13.8,0,0,16
2006-12-16,"20:01:00",3.222,0.078,233.02,13.8,0,0,17
2006-12-16,"20:02:00",3.6072,0.076,232.8,13.8,0,0,16
2006-12-16,"20:03:00",3.60425,0.078,232.79,13.8,0,0,17
2006-12-16,"20:04:00",3.60255,0.078,231.98,13.6,0,0,16
2006-12-16,"20:05:00",3.278,0,232.88,14,0,0,17
2006-12-16,"20:06:00",3.282,0,232.52,14,0,0,17
2006-12-16,"20:07:00",3.5812,0,232.87,14,0,0,16
2006-12-16,"20:08:00",3.57295,0,233.78,14,0,0,17
2006-12-16,"20:09:00",3.37,0.08,233.69,14.4,0,0,17
2006-12-16,"20:10:00",3.42,0.144,234.04,14.6,0,0,17
2006-12-16,"20:11:00",3.5677,0.142,233.93,14.6,0,0,16
2006-12-16,"20:12:00",3.5684,0.14,233.62,14.4,0,0,17
2006-12-16,"20:13:00",3.56915,0.14,233.64,14.4,0,0,17
2006-12-16,"20:14:00",3.5703,0.14,233.26,14.4,0,0,16
2006-12-16,"20:15:00",3.37,0.086,233.9,14.4,0,0,17
2006-12-16,"20:16:00",3.332,0,233.68,14.2,0,0,17
2006-12-16,"20:17:00",3.31,0,232.83,14.2,0,0,17
2006-12-16,"20:18:00",3.312,0,233,14.2,0,0,16
2006-12-16,"20:19:00",3.56735,0,233.08,14.2,0,0,17
2006-12-16,"20:20:00",3.56475,0,232.69,14.2,0,0,16
2006-12-16,"20:21:00",3.302,0,232.91,14,0,0,17
2006-12-16,"20:22:00",3.55985,0,232.87,14,0,0,17
2006-12-16,"20:23:00",3.29,0,232.42,14,0,0,16
2006-12-16,"20:24:00",3.5556,0,232.31,14,0,0,17
2006-12-16,"20:25:00",3.5526,0.052,232.79,13.8,0,0,16
2006-12-16,"20:26:00",3.218,0.078,233.05,13.8,0,0,17
2006-12-16,"20:27:00",3.258,0.076,234.57,13.8,0,0,17
2006-12-16,"20:28:00",3.264,0.076,234.79,13.8,0,0,17
